maximo;minimo;media;varianza
667;563;599.131.455.399;192.230.875.078
642;560;596.142.186.452;19.818.367.302
643;560;596.008.718.981;196.565.316.334
637;555;594.602.280.349;207.452.147.718
642;561;595.068.410.463;23.375.655.408
641;563;59.483.501.006;215.729.988.246
641;560;593.373.574.782;222.463.392.922
639;555;594.459.423.206;234.283.229.446
639;549;592.477.531.858;216.402.412.688
638;549;591.436.619.718;226.346.586.562
630;553;591.912.810.195;175.678.514.638
632;550;593.657.965.194;165.061.727.051
635;537;591.905.718.702;214.213.161.526
644;543;593.531.219.981;25.431.050.466
637;546;593.274.983.233;249.301.983.149
644;554;592.769.953.052;217.757.272.902
644;554;593.089.872.569;197.328.609.709
649;544;594.393.695.506;270.932.193.654
637;554;593.513.749.162;237.047.933.026
642;555;594.320.590.208;268.186.960.349
;;;
