maximo;minimo;media;varianza
700;552;609.914.822.267;254.469.605.921
666;564;604.442.655.936;301.881.855.857
655;564;599.199.865.862;236.542.213.262
641;567;598.480.214.621;220.638.609.209
664;566;596.311.200.537;248.056.071.731
641;559;594.018.779.343;197.892.336.806
642;558;594.348.088.531;215.568.304.529
648;558;594.920.858.484;224.527.606.506
649;554;593.763.916.834;245.999.261.385
643;559;595.386.988.598;19.359.873.077
643;560;59.414.084.507;204.402.697.877
648;558;594.955.153.949;248.147.252.553
657;553;597.953.632.148;31.212.046.723
641;559;59.607.012.488;282.370.682.885
652;559;594.962.441.315;232.120.655.073
642;556;595.128.772.636;248.965.308.956
646;556;596.482.562.039;2.467.473.485
636;561;595.799.463.447;216.896.740.155
647;560;593.457.411.133;227.150.936.021
643;560;593.962.441.315;227.836.282.169
640;559;593.791.932.059;231.491.739.579
698;409;605.601.609.658;470.411.372.325
666;558;604.352.112.676;445.612.435.174
662;521;590.580.147.552;550.662.087.436
627;520;579.631.790.744;235.155.501.756
628;534;582.956.405.097;272.013.525.373
635;537;582.795.439.302;259.689.207.906
644;545;583.629.778.672;271.145.297
639;538;58.580.147.552;290.713.103.121
667;523;58.876.056.338;301.447.029.595
645;543;587.511.066.398;262.457.791.686
647;552;588.029.510.396;259.341.852.141
651;536;585.525.435.074;296.530.477.555
627;543;585.560.535.806;243.367.407.029
632;550;586.860.710.855;180.098.754.154
629;555;585.145.539.906;186.506.651.804
633;538;587.156.270.959;256.797.175.631
643;538;587.685.781.355;253.108.845.449
639;551;587.403.085.178;223.984.403.627
639;543;585.304.493.628;269.739.610.927
647;555;587.167.672.703;257.698.244.014
639;549;586.042.253.521;248.453.613.701
667;563;599.131.455.399;192.230.875.078
642;560;596.142.186.452;19.818.367.302
643;560;596.008.718.981;196.565.316.334
637;555;594.602.280.349;207.452.147.718
642;561;595.068.410.463;23.375.655.408
641;563;59.483.501.006;215.729.988.246
641;560;593.373.574.782;222.463.392.922
639;555;594.459.423.206;234.283.229.446
639;549;592.477.531.858;216.402.412.688
638;549;591.436.619.718;226.346.586.562
630;553;591.912.810.195;175.678.514.638
632;550;593.657.965.194;165.061.727.051
635;537;591.905.718.702;214.213.161.526
644;543;593.531.219.981;25.431.050.466
637;546;593.274.983.233;249.301.983.149
644;554;592.769.953.052;217.757.272.902
644;554;593.089.872.569;197.328.609.709
649;544;594.393.695.506;270.932.193.654
637;554;593.513.749.162;237.047.933.026
642;555;594.320.590.208;268.186.960.349
574;523;5.468.101.945;102.269.138.192
574;516;541.349.429.913;119.099.226.704
563;518;541.156.270.959;857.307.772.411
567;522;543.568.745.808;934.592.243.827
566;521;544.250.838.364;833.187.031.872
570;523;544.040.241.449;712.391.586.271
578;525;546.505.030.181;844.189.887.818
580;520;546.753.185.781;837.137.306.288
578;524;546.485.580.148;797.628.705.387
568;524;546.185.781.355;80.478.563.759
572;524;546.238.095.238;675.120.564.658
572;527;548.704.819.277;778.573.127.853
574;524;54.842.503.864;900.568.485.946
569;524;546.802.113.353;760.549.811.245
573;526;546.651.911.469;903.570.369.231
579;523;5.460.657.277;792.887.717.542
654;447;547.142.521.797;866.446.774.769
572;520;546.612.340.711;102.147.506.996
583;517;547.847.082.495;105.493.718.852
574;523;5.468.101.945;102.269.138.192
576;527;54.733.065.057;765.606.903.212
