maximo;minimo;media;varianza
617;383;511.136.820.926;162.959.764.489
729;413;578.468.812.877;238.623.829.631
704;519;601.948.356.808;355.800.820.573
715;515;595.319.248.826;48.600.807.348
769;430;59.649.564.051;133.665.910.239
689;512;586.410.462.777;436.719.514.943
704;324;51.585.982.562;196.305.144.437
622;386;513.168.343.394;15.542.781.662
565;460;508.340.710.932;209.529.791.312
708;456;593.027.498.323;178.897.509.897
589;431;511.253.521.127;764.986.028.849
643;458;532.536.144.578;155.728.216.077
761;434;603.934.942.991;197.887.370.186
822;407;604.798.792.757;21.421.017.021
757;453;600.657.947.686;280.245.711.155
709;413;552.374.245.473;164.206.517.171
755;383;56.423.138.833;242.351.922.939
739;299;570.871.898.055;145.933.100.773
738;370;562.775.318.578;297.623.724.462
641;428;55.701.369.863;990.104.835.179
793;319;569.488.262.911;413.156.978.176
826;305;5.653.138.833;24.877.606.322
800;382;568.142.857.143;17.874.785.858
691;379;556.491.616.365;198.109.365.876
765;433;566.382.964.453;190.581.108.471
727;401;568.556.002.683;196.884.914.405
724;380;568.300.469.484;243.484.600.246
760;442;587.572.099.262;141.667.136.105
704;419;578.334.004.024;147.995.551.039
688;445;559.342.403.628;106.566.734.025
