maximo;minimo;media;varianza
617;383;511.136.820.926;162.959.764.489
729;413;578.468.812.877;238.623.829.631
704;519;601.948.356.808;355.800.820.573
715;515;595.319.248.826;48.600.807.348
769;430;59.649.564.051;133.665.910.239
689;512;586.410.462.777;436.719.514.943
704;324;51.585.982.562;196.305.144.437
622;386;513.168.343.394;15.542.781.662
565;460;508.340.710.932;209.529.791.312
708;456;593.027.498.323;178.897.509.897
589;431;511.253.521.127;764.986.028.849
643;458;532.536.144.578;155.728.216.077
