maximo;minimo;media;varianza
722;505;571.242.119.383;237.045.177.391
694;501;567.443.326.626;186.431.519.859
679;500;564.144.869.215;143.416.009.943
689;502;566.738.430.584;150.697.920.049
687;504;571.452.716.298;195.286.077.565
679;502;573.313.212.609;175.466.849.746
695;510;579.549.966.465;189.968.680.583
707;501;576.453.386.989;163.097.619.745
684;503;574.008.718.981;160.641.239.883
686;507;574.827.632.461;178.932.709.694
708;498;576.531.187.123;212.530.737.746
708;501;576.939.759.036;246.968.311.801
708;485;578.085.007.728;236.163.677.163
683;496;575.553.698.367;185.497.485.699
719;492;572.452.716.298;174.039.799.899
669;448;545.663.313.213;93.503.754.744
654;460;550.387.659.289;105.531.719.177
671;476;555.393.695.506;116.868.672.082
693;464;553.648.558.015;115.404.550.262
667;479;557.591.549.296;111.343.678.975
659;468;557.949.698.189;105.603.704.049
681;469;557.175.050.302;108.855.084.633
702;487;562.856.472.166;141.015.377.937
710;465;560.132.461.435;153.884.194.424
653;451;553.039.473.684;146.144.142.428
700;475;559.494.716.619;166.655.736.882
759;497;585.681.421.865;299.617.550.328
772;490;589.376.257.545;413.037.687.426
760;504;586.709.590.879;307.155.416.019
771;493;590.219.986.586;287.938.286.009
744;492;59.219.047.619;279.925.815.209
749;514;593.990.610.329;280.916.825.523
875;482;585.060.362.173;418.284.008.545
866;491;591.592.219.987;487.863.720.305
811;503;586.304.493.628;313.924.195.835
800;487;591.552.649.229;378.025.594.704
813;510;584.977.653.631;246.002.184.701
788;496;588.417.169.685;316.796.681.452
783;490;589.576.794.098;358.560.158.087
819;439;567.443.326.626;417.686.650.644
820;478;583.438.631.791;45.799.283.265
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
