clase,maximo,minimo,media,varianza
1,729,413,578.468.812.877,238.623.829.631
1,704,519,601.948.356.808,355.800.820.573
1,715,515,595.319.248.826,48.600.807.348
1,769,430,59.649.564.051,133.665.910.239
1,689,512,586.410.462.777,436.719.514.943
1,704,324,51.585.982.562,196.305.144.437
1,622,386,513.168.343.394,15.542.781.662
1,565,460,508.340.710.932,209.529.791.312
1,708,456,593.027.498.323,178.897.509.897
1,589,431,511.253.521.127,764.986.028.849
1,643,458,532.536.144.578,155.728.216.077
1,761,434,603.934.942.991,197.887.370.186
1,822,407,604.798.792.757,21.421.017.021
1,757,453,600.657.947.686,280.245.711.155
1,709,413,552.374.245.473,164.206.517.171
1,755,383,56.423.138.833,242.351.922.939
1,739,299,570.871.898.055,145.933.100.773
1,738,270,562.775.318.578,297.623.724.462
1,641,428,55.701.369.863,990.104.835.179
1,793,319,569.488.262.911,413.156.978.176
1,826,305,5.653.138.833,24.877.606.322
1,800,382,568.142.857.143,17.874.785.858
1,691,379,556.491.616.365,198.109.365.876
1,765,433,566.382.964.453,190.581.108.471
1,727,401,568.556.002.683,196.884.914.405
1,724,380,568.300.469.484,243.484.600.246
1,760,442,587.572.099.262,141.667.136.105
1,704,419,578.334.004.024,147.995.551.039
1,688,445,559.342.403.628,106.566.734.025
1,700,552,609.914.822.267,254.469.605.921
2,666,564,604.442.655.936,301.881.855.857
2,655,564,599.199.865.862,236.542.213.262
2,641,567,598.480.214.621,220.638.609.209
2,664,566,596.311.200.537,248.056.071.731
2,641,559,594.018.779.343,197.892.336.806
2,642,558,594.348.088.531,215.568.304.529
2,648,558,594.920.858.484,224.527.606.506
2,649,554,593.763.916.834,245.999.261.385
2,643,559,595.386.988.598,19.359.873.077
2,643,560,59.414.084.507,204.402.697.877
2,648,558,594.955.153.949,248.147.252.553
2,657,553,597.953.632.148,31.212.046.723
2,641,559,59.607.012.488,282.370.682.885
2,652,559,594.962.441.315,232.120.655.073
2,642,556,595.128.772.636,248.965.308.956
2,646,556,596.482.562.039,2.467.473.485
2,636,561,595.799.463.447,216.896.740.155
2,647,560,593.457.411.133,227.150.936.021
2,643,560,593.962.441.315,227.836.282.169
2,640,559,593.791.932.059,231.491.739.579
2,698,409,605.601.609.658,470.411.372.325
2,666,558,604.352.112.676,445.612.435.174
2,662,521,590.580.147.552,550.662.087.436
2,627,520,579.631.790.744,235.155.501.756
