maximo;minimo;media;varianza
617;383;0.83804624;16.458.839
729;413;0.83804624;24.100.865
704;519;0.9869384;35.935.671
715;515;0.97606949;4.908.653
769;430; 0.09779983 ;13.500.178
689;512;0.96146288;44.108.412
704;324; 0.08457899;19.826.703
622;386;0.84137707;1.569.812
565;460;0.83346181 ;21.162.384
708;456;0.972312 ;18.068.542
589;431;0.83823757;77.263.134
643;458; 0.87313199;15.728.457
761;434;0.99019555;19.986.507
822;407;0.9916119 ;2.163.510
757;453;0.98482268;28.304.650
709;413;0.90565801;16.584.761
755;383;0.09250987;24.477.400
739;299;0.93598627;14.739.157
738;370;0.92271133;30.059.819
641;428;0.09132647;100.000.000
793;319;0.9337177;41.728.609
826;305;0.00926873 ;2.512.623
800;382;0.93151181;1.805.343
691;379;0.91240874;20.008.928
765;433;0.92862633;19.248.579
727;401; 0.93218919;19.885.259
724;380;0.93177022;24.591.800
760;442;0.96336747;14.308.297
704;419;0.94822094;14.947.463
688;445;0.91708282;10.763.177
700;552;1.  ;25.701.279
666;564; 0.99102798 ;30.489.888
655;564;0.98243204;23.890.623
641;567;0.98125212;22.284.368
664;566;0.97769587;25.053.516
641;559;0.97393727;19.987.008
642;558;0.9744772 ;21.772.271
648;558; 0.9754163;22.677.155
649;554;0.97351941;24.845.779
643;559;0.97618055;1.955.336
643;560;0.09741374;20.644.551
648;558;0.97547253;25.062.725
657;553;0.98038875 ;3.152.398
641;559; 0.09773006;28.519.271
652;559;0.97548448;23.444.048
642;556;0.97575719;25.145.348
646;556;0.97797683 ;249.213
636;561; 0.97685684;21.906.442
647;560;0.97301687;22.942.110
643;560;0.9738449;23.011.329
640;559;0.97356534;23.380.528
698;409; 0.99292817;47.511.269
666;558;0.99087953 ;45.006.591
662;521; 0.96829939;55.616.544
627;520; 0.95034875;23.750.566
628;534; 0.9557997;27.473.204
635;537; 0.95553579;26.228.456
644;545;0.95690375 ;27.386
639;538;0.09604644;29.361.851
667;523;0.0965316;30.445.971
645;543;0.9632674;26.508.081
647;552;0.96411743 ;26.193.373
651;536;0.96001181;29.949.402
627;543;0.96006936;24.579.964
632;550; 0.9622011 ;18.189.867
629;555;0.95938895;18.837.061
633;538;0.96268569 ;25.936.362
643;538;0.96355386;25.563.843
639;551;0.96309036 ;22.622.292
639;543;0.95964956;27.243.540
647;555;0.96270438;26.027.370
639;549;0.96085918;25.093.667
667;563; 0.98231988;19.415.204
642;560;0.09774188;22.201.525
643;560;0.97719993;19.852.980
637;555;0.97489397;20.952.544
642;561;0.97565822;2.360.927
641;563;0.09752755;21.788.601
641;560;0.97287941 ;22.468.671
639;555;0.97465974;23.662.467
639;549;0.97141029;21.856.515
638;549;0.96970363;22.860.871
630;553;0.97048438;17.743.426
632;550;0.97334569;16.671.136
635;537;0.97047276;21.635.402
644;543;0.97313788;2.568.521
637;546;0.97271777;25.179.352
644;554;0.97188973;21.993.355
644;554;0.97241426 ;19.930.072
649;544; 0.97455198;27.363.991
637;554; 0.97310924;23.941.700
642;555;0.97443211;27.086.724
574;523;0.00896535;10.329.122
574;516;0.88758202;12.028.951
563;518;0.88726532;86.587.576
567;522;0.89122075;94.393.261
566;521;0.89233909;84.151.395
570;523;0.8919938 ;71.951.127
578;525; 0.896035 ;85.262.677
580;520;0.89644187;84.550.371
578;524;0.89600311;80.560.025
568;524;0.89551157;8.128.287
572;524;0.89559734;68.186.776
572;527;0.89964172;78.635.423
574;524;0.0899183;90.956.882
569;524; 0.89652209;76.815.079
573;526;0.89627583;91.260.070
579;523; 0.00895315;80.081.188
654;447;0.89708022;87.510.609
572;520;0.89621095;10.316.838
583;517;0.8982354;10.654.803
574;523;0.00896535;10.329.122
576;527;0.08973887;77.325.842
576;527;0.08973887;77.325.842
722;505; 0.93659327;23.941.422
694;501; 0.93036487 ;18.829.473
679;500;0.92495681;14.484.932
689;502;0.92920915;15.220.400
687;504;0.93693856;19.723.778
679;502;0.93998898;17.722.048
695;510;0.9502146;19.186.724
707;501; 0.94513753;16.472.763
684;503;0.94112932;16.224.670
686;507;0.94247198;18.072.097
708;498;0.94526509 ;21.465.478
708;501; 0.94593497;24.943.653
708;485;0.94781269;23.852.391
683;496;0.94366242;18.735.136
719;492;0.93857813;17.577.916
669;448; 0.89465495;9.443.824
654;460;0.90240086;10.658.641
671;476; 0.91060862;11.803.666
693;464;0.90774734;11.655.791
667;479;0.91421216;11.245.645
659;468;0.91479937;10.665.911
681;469; 0.91352928;10.994.299
702;487;0.92284439;14.242.469
710;465;0.91837818;15.542.212
653;451;  0.9067487;14.760.472
700;475; 0.91733255;16.832.130
759;497;0.96026757;30.261.195
772;490;0.96632552 ;41.716.561
760;504;0.96195332;31.022.515
771;493; 0.96770888;29.081.596
744;492;0.09709396;28.272.341
749;514; 0.97389109;28.372.432
875;482;0.95924929;42.246.436
866;491;0.96995875 ;49.273.946
811;503;0.96128914;31.706.157
800;487;0.96989387;38.180.360
813;510; 0.95911369;24.846.075
788;496;0.96475302;31.996.277
783;490;0.96665431;36.214.363
819;439; 0.93036487;42.186.104
820;478; 0.95659035;4.625.700
883;423; 0.97238347;41.974.923
916;432;0.9713762;46.355.692
918;489;0.97550757 ;49.648.437
872;399; 0.09704514;48.814.353
